Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Biologie-Ecologie,Physique-Chimie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;3;2.0;0
Biologie-Ecologie,Physique-Chimie;Licence Chimie;142;96.0;17
Biologie-Ecologie,Physique-Chimie;Licence Formation générale aux métiers de l'ingénieur;28;20.0;5
Biologie-Ecologie,Physique-Chimie;Licence Génie civil;1;1.0;1
Biologie-Ecologie,Physique-Chimie;Licence LEA;38;32.0;6
Biologie-Ecologie,Physique-Chimie;Licence Langues et littératures françaises;8;7.0;2
Biologie-Ecologie,Physique-Chimie;Licence Philosophie, Epistémologie;9;8.0;1
Biologie-Ecologie,Physique-Chimie;Licence Pluri Lettres - Sciences du langage - Arts;2;1.0;0
Biologie-Ecologie,Physique-Chimie;Licence Pluri Sciences humaines et sociales;4;4.0;0
Biologie-Ecologie,Physique-Chimie;Licence Psychlogie, Sciences cognitives;125;99.0;35
Biologie-Ecologie,Physique-Chimie;Licence Sciences de l'information et de la communication;11;4.0;3
Biologie-Ecologie,Physique-Chimie;Licence Sciences de l'éducation;31;18.0;6
Biologie-Ecologie,Physique-Chimie;Licence Sciences du langage - Linguistique;8;6.0;0
Biologie-Ecologie,Physique-Chimie;BTS service;200;77.0;19
Biologie-Ecologie,Physique-Chimie;D.E sanitaire;171;91.0;58
Biologie-Ecologie,Physique-Chimie;Formations d'ART;16;5.0;1
Biologie-Ecologie,Sciences économiques et sociales;Licence Arts;1;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Physique et chimie;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Sciences de gestion;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Sciences juridiques;1;1.0;0
Biologie-Ecologie,Sciences économiques et sociales;Licence Sciences religieuses;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;PASS;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;CPGE ECG;0;0.0;0
Biologie-Ecologie,Sciences économiques et sociales;Autres formations;2;2.0;1
Biologie-Ecologie,Sciences économiques et sociales;CUPGE;0;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence LEA;34;19.0;4
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;130;111.0;22
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Physique;1;0.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;40;21.0;9
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence STAPS;3;1.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Sciences de la vie, biologie, santé;3;1.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;Licence Sciences religieuses;1;1.0;0
Humanités, Littérature et Philosophie,Littératures, langues et culture de l'antiquité;BTS production;5;2.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Electronique, Génie électrique, EEA;0;0.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence LEA;2592;2077.0;764
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Mathématiques et informatique;0;0.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique;4;1.0;1
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Physique et chimie;1;1.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de l'éducation;700;367.0;150
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences religieuses;10;10.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;BTS service;1419;641.0;262
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;CPGE S;31;7.0;4
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;Ecoles d'Ingénieurs;2;1.0;0
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;D.E social;127;48.0;40
Humanités, Littérature et Philosophie,Langues, Littératures et Cultures Etrangères et Régionales;DCG;9;3.0;1
Humanités, Littérature et Philosophie,Mathématiques;Licence Géographie;21;15.0;6
Humanités, Littérature et Philosophie,Mathématiques;Licence Philosophie, Epistémologie;227;174.0;37
Humanités, Littérature et Philosophie,Mathématiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;5;0.0;0
Humanités, Littérature et Philosophie,Mathématiques;Licence STAPS;39;20.0;11
Humanités, Littérature et Philosophie,Mathématiques;Licence Sciences juridiques;288;239.0;97
Humanités, Littérature et Philosophie,Mathématiques;BTS service;107;53.0;17
Humanités, Littérature et Philosophie,Mathématiques;CPGE L;311;272.0;170
Humanités, Littérature et Philosophie,Mathématiques;Ecoles de Commerce;22;17.0;10
Humanités, Littérature et Philosophie,Mathématiques;CUPGE;10;4.0;0
Humanités, Littérature et Philosophie,Mathématiques;DEUST;9;3.0;1
Humanités, Littérature et Philosophie,Mathématiques;Formations des écoles nationales vétérinaires;2;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence AES;1;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Electronique, Génie électrique, EEA;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Génie civil;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Mathématiques;1;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Pluri Langues;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Pluri Sciences;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Sciences de gestion;2;1.0;1
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Licence Sciences de la vie, biologie, santé;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;PASS;2;1.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;CPGE ECG;0;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;CPGE S;2;0.0;0
Humanités, Littérature et Philosophie,Numérique et Sciences Informatiques;Ecoles d'Ingénieurs;0;0.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;3;2.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Arts;31;26.0;17
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Chimie;10;3.0;1
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Informatique;2;1.0;1
Humanités, Littérature et Philosophie,Physique-Chimie;Licence LEA;13;10.0;4
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Langues et littératures françaises;34;32.0;5
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Philosophie, Epistémologie;19;17.0;4
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sciences de l'information et de la communication;6;4.0;1
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sciences et technologies industrielles;6;2.0;1
Humanités, Littérature et Philosophie,Physique-Chimie;Licence Sociologie, Démographie;17;13.0;0
Humanités, Littérature et Philosophie,Physique-Chimie;PASS;20;7.0;4
Humanités, Littérature et Philosophie,Physique-Chimie;BTS service;28;7.0;4
Humanités, Littérature et Philosophie,Physique-Chimie;Formations d'ART;18;6.0;2
Humanités, Littérature et Philosophie,Physique-Chimie;Autres formations;23;8.0;3
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence AES;916;644.0;177
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Géographie;140;98.0;28
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Informatique;12;5.0;3
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Pluri Sciences humaines et sociales;20;9.0;2
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Pluri Sciences économiques - Gestion;654;422.0;77
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Licence Sciences de l'éducation;789;393.0;166
Humanités, Littérature et Philosophie,Sciences économiques et sociales;BTS service;1508;788.0;286
Humanités, Littérature et Philosophie,Sciences économiques et sociales;CPGE S;18;2.0;1
Humanités, Littérature et Philosophie,Sciences économiques et sociales;D.E sanitaire;298;78.0;50
Humanités, Littérature et Philosophie,Sciences économiques et sociales;CUPGE;13;8.0;1
Humanités, Littérature et Philosophie,Sciences économiques et sociales;Formations des écoles nationales vétérinaires;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Langues et littératures étrangères;193;159.0;35
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Mathématiques;4;2.0;2
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Physique;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Langues;2;0.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Pluri Sciences;30;19.0;1
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences de gestion;11;3.0;3
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences de l'information et de la communication;106;65.0;17
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences de la vie, biologie, santé;291;152.0;54
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sciences juridiques;396;332.0;147
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;Licence Sociologie, Démographie;283;237.0;47
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;BTS service;341;154.0;54
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;CPGE ECG;8;2.0;0
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;D.E social;57;13.0;11
Humanités, Littérature et Philosophie,Sciences de la vie et de la terre;D.E sanitaire;517;223.0;174
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Physique et chimie;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Pluri Sciences humaines et sociales;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences de l'univers, de la terre, de l'espace;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences et technologies industrielles;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Sciences économiques;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Licence Las;2;1.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;BUT Production;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;CPGE S;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Ecoles d'Ingénieurs;1;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;D.E social;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;DEUST;0;0.0;0
Humanités, Littérature et Philosophie,Sciences de l'ingénieur;Sciences Po;1;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;365;211.0;40
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Géographie;740;485.0;112
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Informatique;8;5.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;2923;2581.0;586
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Physique et chimie;1;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;15;1.0;1
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Sciences humaines et sociales;57;30.0;5
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Sciences économiques - Gestion;181;98.0;20
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;Licence Sciences du langage - Linguistique;463;395.0;76
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;BTS production;111;15.0;3
Histoire,Géographie, Géopolitique, Sciences politiques,Humanités, Littérature et Philosophie;D.E social;198;82.0;74
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Histoire;68;61.0;23
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Informatique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence LEA;7;5.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Histoire,Géographie, Géopolitique, Sciences politiques,Littératures, langues et culture de l'antiquité;Licence Pluri Langues;1;0.0;0
